variable,age_at_admission,imd_decile,__missing__imd_decile,days_from_admission_to_first_culture,surgery_length,min_days_from_surgery_to_infection,temp,__missing__temp,crp,__missing__crp,gender,past_abx,emergency_exposure_90d,hospital_exposure_90d,any_healthcare_exposure_90d,asthma,cancer,copd,hypertension,ischaemic_heart_disease,type2_diabetes,prior_positive_esbl
gender,-0.24634654602106643,-0.01834537328933483,-0.012533076647583826,-0.019800641764592147,-0.19795966060507536,-0.01747028934682461,0.006864919202338548,0.03983782852268465,-0.08692519931087478,0.14541427550480357,1.0,-0.013118264860784457,-0.029827221737298258,-0.03945773613242256,-0.033583614570807635,-0.02285137887561065,-0.06324982656278465,-0.13274995919122826,-0.16495902669431223,-0.1680646348040807,-0.11308303115597128,-0.03786944497633568
past_abx,-0.002097379483943661,-0.03336965092641947,-0.050971142309321656,0.024139109265301686,-0.06490811241063961,0.027758856879422457,-0.03130694975269298,0.0826958990106742,-0.055937638621941205,0.02364142382387281,-0.013118264860784457,1.0,0.33806264467871416,0.42492571631813464,0.4014935675322881,-0.034301090082553665,0.04635153419911787,-0.02208436377783376,-0.022976938842360118,-0.0300950586910158,-0.00816259868055258,0.19764127544637272
emergency_exposure_90d,0.03778932325307076,-0.14255537584695693,-0.0771483231129915,0.002394540582080359,-0.0383683104265136,-0.01851679970317927,0.04890322876850891,0.08288533256675384,-0.02325751088342477,0.02556646847602915,-0.029827221737298258,0.33806264467871416,1.0,0.28208100400076974,0.43899860984803696,0.010445373766518596,0.07178827850357077,0.03059978538980649,-0.06304195372447148,0.005810157221808905,-0.02269142066180631,0.09471474116877661
hospital_exposure_90d,0.02299324964885674,-0.067666515144363,-0.07414598017455663,0.05408384869226503,0.024707722938609365,0.05813203937866079,-0.018456241616824312,-0.009961746509488688,-0.0021040646819282713,-0.02385989998300173,-0.03945773613242256,0.42492571631813464,0.28208100400076974,1.0,0.9365140561962559,0.04442955500765482,0.07011322524673742,0.03435056150930513,-0.0035773877464748112,0.008145096573641682,0.032676291935462815,0.14376593441105023
any_healthcare_exposure_90d,0.024750382139752152,-0.09956577424920152,-0.08299871529703202,0.04943019198531564,0.003926280638624242,0.053340790874883984,-0.025879971268572808,0.011954867614210494,-0.014736656097924636,-0.0002428334762434857,-0.033583614570807635,0.4014935675322881,0.43899860984803696,0.9365140561962559,1.0,0.02971710397282556,0.06609643428286988,0.034767053790992514,-0.006668037887273443,0.007963968215010754,0.021745210069394883,0.14046297650115672
asthma,0.11409926527585325,-0.03340266846347095,-0.052103774991477,0.026779317823553552,0.1427225701361231,-0.0001304020832131117,0.04225143419024164,-0.14506614823724853,0.14338421561548986,-0.17392652928285754,-0.02285137887561065,-0.034301090082553665,0.010445373766518596,0.04442955500765482,0.02971710397282556,1.0,0.015197407612258339,0.17394258512284233,0.10170306126501033,0.13404523081206765,0.02496766892306267,-0.0198790259957463
cancer,0.12613684626077182,-0.026101877849195317,-0.0013030735251220611,0.026397182879478315,0.13694868628889703,0.018801588326904765,0.04459285289849106,-0.05587490398469267,0.04105093541728226,-0.06617568346337586,-0.06324982656278465,0.04635153419911787,0.07178827850357077,0.07011322524673742,0.06609643428286988,0.015197407612258339,1.0,0.07928871479747554,0.06727774010824439,0.010048939907507052,0.025098378814075478,-0.021306272689238834
copd,0.12244485318859381,-0.04711545284431462,-0.005974955233882077,-0.027158769524185708,0.08412227848840605,-0.05420207722745547,-0.026011354364371835,-0.09719431920201316,0.05672489147985659,-0.09497895993297359,-0.13274995919122826,-0.02208436377783376,0.03059978538980649,0.03435056150930513,0.034767053790992514,0.17394258512284233,0.07928871479747554,1.0,0.11234122230350566,0.14416990087284925,0.022457484066362294,-0.013065832818302548
hypertension,0.3810229138947894,-0.012851262516431016,-0.05410807274953903,0.03895751979392512,0.1837957855773138,0.014133001599624984,-0.026505730576909796,-0.2139635669789281,0.026189685258454224,-0.2543355535167635,-0.16495902669431223,-0.022976938842360118,-0.06304195372447148,-0.0035773877464748112,-0.006668037887273443,0.10170306126501033,0.06727774010824439,0.11234122230350566,1.0,0.41481904896023303,0.3060966507404903,0.04600450925344874
ischaemic_heart_disease,0.3294382278042748,-0.0019375883576119265,-0.05672365727289477,0.03049977819435873,0.20776409649139244,-0.012379340426133539,-0.02353549642451711,-0.2630253603875527,-0.013372354976557572,-0.31920331909650523,-0.1680646348040807,-0.0300950586910158,0.005810157221808905,0.008145096573641682,0.007963968215010754,0.13404523081206765,0.010048939907507052,0.14416990087284925,0.41481904896023303,1.0,0.2971907612696031,-0.01652904168340329
type2_diabetes,0.16113475600018362,-0.05033338874344656,-0.03891793833103273,0.03682543892438626,0.0980787690685335,0.03679518717958239,-0.004178203698981743,-0.0927212844343396,0.01731463750514546,-0.14699727035843907,-0.11308303115597128,-0.00816259868055258,-0.02269142066180631,0.032676291935462815,0.021745210069394883,0.02496766892306267,0.025098378814075478,0.022457484066362294,0.3060966507404903,0.2971907612696031,1.0,0.04663057814322281
prior_positive_esbl,-0.004026245005195132,-0.027742795794025565,-0.050722957130339724,-0.008790194062649092,-0.12216306905266643,0.0029872327332381697,-0.00982053654277316,0.07181534205106024,0.019537827966016382,0.04615006071088189,-0.03786944497633568,0.19764127544637272,0.09471474116877661,0.14376593441105023,0.14046297650115672,-0.0198790259957463,-0.021306272689238834,-0.013065832818302548,0.04600450925344874,-0.01652904168340329,0.04663057814322281,1.0
