comorbidity,snomed_code
chronic_pulmonary_disease,40122008
chronic_pulmonary_disease,196017002
chronic_pulmonary_disease,17996008
chronic_pulmonary_disease,805002
chronic_pulmonary_disease,426853005
chronic_pulmonary_disease,73144008
chronic_pulmonary_disease,74015002
chronic_pulmonary_disease,87433001
chronic_pulmonary_disease,274096000
chronic_pulmonary_disease,62371005
chronic_pulmonary_disease,286964001
chronic_pulmonary_disease,370221004
chronic_pulmonary_disease,426656000
chronic_pulmonary_disease,61937009
chronic_pulmonary_disease,51277007
chronic_pulmonary_disease,13394002
chronic_pulmonary_disease,707444001
chronic_pulmonary_disease,707511009
chronic_pulmonary_disease,707512002
chronic_pulmonary_disease,707513007
metastatic_solid_tumor,430556008
metastatic_solid_tumor,363346000
metastatic_solid_tumor,127250009
metastatic_solid_tumor,127267002
metastatic_solid_tumor,127245003
metastatic_solid_tumor,127232002
metastatic_solid_tumor,127261001
metastatic_solid_tumor,127274007
metastatic_solid_tumor,127254000
metastatic_solid_tumor,254289008
metastatic_solid_tumor,94161006
metastatic_solid_tumor,94186002
metastatic_solid_tumor,94222008
metastatic_solid_tumor,94217008
metastatic_solid_tumor,94225005
metastatic_solid_tumor,188462001
metastatic_solid_tumor,94246001
metastatic_solid_tumor,94297009
metastatic_solid_tumor,94313005
metastatic_solid_tumor,94347008
metastatic_solid_tumor,94348003
metastatic_solid_tumor,94350006
metastatic_solid_tumor,94351005
metastatic_solid_tumor,94360002
metastatic_solid_tumor,94365007
metastatic_solid_tumor,353741000119106
metastatic_solid_tumor,369523007
metastatic_solid_tumor,94381002
metastatic_solid_tumor,813671000000107
metastatic_solid_tumor,94391008
metastatic_solid_tumor,94392001
metastatic_solid_tumor,94395004
metastatic_solid_tumor,94396003
metastatic_solid_tumor,94398002
metastatic_solid_tumor,94409002
metastatic_solid_tumor,94442001
